Register_No,Name,Department,Subject_1,Mark_1,Subject_2,Mark_2,Subject_3,Mark_3,Attendance_%,Current_GPA
10092,Student_92,MECH,Thermodynamics,83,Fluid Mechanics,80,Robotics,64,99,7.57
10093,Student_93,CSE,Data Science,75,Operating Systems,85,Cyber Security,40,88,6.67
10094,Student_94,CSE,Data Science,54,Operating Systems,73,Cyber Security,41,66,5.6
10095,Student_95,MECH,Thermodynamics,73,Fluid Mechanics,41,Robotics,55,72,5.63
10096,Student_96,IT,Data Science,91,Cloud Computing,46,Web Frameworks,98,88,7.83
10097,Student_97,IT,Data Science,84,Cloud Computing,74,Web Frameworks,44,74,6.73
10098,Student_98,CSE,Data Science,97,Operating Systems,56,Cyber Security,78,72,7.7
10099,Student_99,IT,Data Science,94,Cloud Computing,86,Web Frameworks,48,68,7.6
10100,Student_100,CSE,Data Science,47,Operating Systems,52,Cyber Security,73,93,5.73
10101,Student_101,CSE,Data Science,55,Operating Systems,44,Cyber Security,66,86,5.5
10102,Student_102,IT,Data Science,40,Cloud Computing,73,Web Frameworks,93,91,6.87
10103,Student_103,MECH,Thermodynamics,85,Fluid Mechanics,71,Robotics,41,78,6.57
10104,Student_104,CSE,Data Science,44,Operating Systems,44,Cyber Security,65,83,5.1
10105,Student_105,CSE,Data Science,45,Operating Systems,59,Cyber Security,82,79,6.2
10106,Student_106,IT,Data Science,88,Cloud Computing,82,Web Frameworks,98,97,8.93
10107,Student_107,ECE,VLSI Design,76,Digital Electronics,56,Signal Processing,81,90,7.1
10108,Student_108,MECH,Thermodynamics,61,Fluid Mechanics,75,Robotics,61,94,6.57
10109,Student_109,ECE,VLSI Design,85,Digital Electronics,49,Signal Processing,48,67,6.07
10110,Student_110,MECH,Thermodynamics,75,Fluid Mechanics,82,Robotics,74,95,7.7
10111,Student_111,CSE,Data Science,93,Operating Systems,55,Cyber Security,49,69,6.57
10112,Student_112,CSE,Data Science,50,Operating Systems,72,Cyber Security,93,74,7.17
10113,Student_113,CSE,Data Science,93,Operating Systems,50,Cyber Security,50,95,6.43
10114,Student_114,CSE,Data Science,56,Operating Systems,60,Cyber Security,82,80,6.6
10115,Student_115,MECH,Thermodynamics,69,Fluid Mechanics,65,Robotics,83,80,7.23
10116,Student_116,MECH,Thermodynamics,61,Fluid Mechanics,46,Robotics,98,93,6.83
10117,Student_117,CSE,Data Science,84,Operating Systems,87,Cyber Security,88,98,8.63
10118,Student_118,MECH,Thermodynamics,78,Fluid Mechanics,65,Robotics,62,94,6.83
10119,Student_119,EEE,Power Systems,97,Control Theory,48,Electric Machines,90,81,7.83
10120,Student_120,ECE,VLSI Design,95,Digital Electronics,60,Signal Processing,98,79,8.43
10121,Student_121,ECE,VLSI Design,57,Digital Electronics,77,Signal Processing,72,79,6.87
10122,Student_122,IT,Data Science,85,Cloud Computing,53,Web Frameworks,77,85,7.17
10123,Student_123,CSE,Data Science,68,Operating Systems,76,Cyber Security,92,82,7.87
10124,Student_124,ECE,VLSI Design,80,Digital Electronics,84,Signal Processing,91,67,8.5
10125,Student_125,IT,Data Science,87,Cloud Computing,65,Web Frameworks,96,76,8.27
10126,Student_126,ECE,VLSI Design,82,Digital Electronics,49,Signal Processing,74,81,6.83
10127,Student_127,ECE,VLSI Design,57,Digital Electronics,63,Signal Processing,77,72,6.57
10128,Student_128,ECE,VLSI Design,40,Digital Electronics,99,Signal Processing,81,74,7.33
10129,Student_129,EEE,Power Systems,96,Control Theory,46,Electric Machines,47,87,6.3
10130,Student_130,IT,Data Science,77,Cloud Computing,93,Web Frameworks,72,78,8.07
10131,Student_131,MECH,Thermodynamics,58,Fluid Mechanics,82,Robotics,87,77,7.57
10132,Student_132,IT,Data Science,49,Cloud Computing,85,Web Frameworks,83,90,7.23
10133,Student_133,IT,Data Science,81,Cloud Computing,50,Web Frameworks,82,76,7.1
10134,Student_134,CSE,Data Science,43,Operating Systems,50,Cyber Security,73,93,5.53
10135,Student_135,EEE,Power Systems,68,Control Theory,70,Electric Machines,65,68,6.77
10136,Student_136,CSE,Data Science,74,Operating Systems,41,Cyber Security,94,77,6.97
10137,Student_137,EEE,Power Systems,97,Control Theory,40,Electric Machines,50,75,6.23
10138,Student_138,CSE,Data Science,70,Operating Systems,68,Cyber Security,90,83,7.6
10139,Student_139,ECE,VLSI Design,61,Digital Electronics,68,Signal Processing,87,97,7.2
10140,Student_140,ECE,VLSI Design,99,Digital Electronics,59,Signal Processing,45,65,6.77
10141,Student_141,CSE,Data Science,95,Operating Systems,56,Cyber Security,99,70,8.33
10142,Student_142,EEE,Power Systems,71,Control Theory,57,Electric Machines,87,69,7.17
10143,Student_143,EEE,Power Systems,83,Control Theory,85,Electric Machines,42,83,7.0
10144,Student_144,ECE,VLSI Design,62,Digital Electronics,48,Signal Processing,99,94,6.97
10145,Student_145,IT,Data Science,73,Cloud Computing,99,Web Frameworks,71,87,8.1
10146,Student_146,IT,Data Science,91,Cloud Computing,67,Web Frameworks,41,84,6.63
10147,Student_147,EEE,Power Systems,57,Control Theory,67,Electric Machines,75,69,6.63
10148,Student_148,ECE,VLSI Design,75,Digital Electronics,90,Signal Processing,66,74,7.7
10149,Student_149,ECE,VLSI Design,61,Digital Electronics,41,Signal Processing,94,95,6.53
10150,Student_150,EEE,Power Systems,82,Control Theory,86,Electric Machines,84,89,8.4
10151,Student_151,MECH,Thermodynamics,82,Fluid Mechanics,90,Robotics,68,91,8.0
10152,Student_152,CSE,Data Science,97,Operating Systems,81,Cyber Security,44,82,7.4
10153,Student_153,MECH,Thermodynamics,50,Fluid Mechanics,50,Robotics,99,73,6.63
10154,Student_154,EEE,Power Systems,97,Control Theory,87,Electric Machines,76,95,8.67
10155,Student_155,MECH,Thermodynamics,81,Fluid Mechanics,65,Robotics,70,68,7.2
10156,Student_156,IT,Data Science,64,Cloud Computing,93,Web Frameworks,71,93,7.6
10157,Student_157,IT,Data Science,54,Cloud Computing,87,Web Frameworks,84,83,7.5
10158,Student_158,EEE,Power Systems,74,Control Theory,85,Electric Machines,58,94,7.23
10159,Student_159,ECE,VLSI Design,44,Digital Electronics,73,Signal Processing,62,99,5.97
10160,Student_160,CSE,Data Science,69,Operating Systems,69,Cyber Security,61,78,6.63
10161,Student_161,MECH,Thermodynamics,60,Fluid Mechanics,52,Robotics,96,65,6.93
10162,Student_162,IT,Data Science,84,Cloud Computing,61,Web Frameworks,56,99,6.7
10163,Student_163,CSE,Data Science,68,Operating Systems,81,Cyber Security,43,68,6.4
10164,Student_164,EEE,Power Systems,61,Control Theory,53,Electric Machines,82,74,6.53
10165,Student_165,ECE,VLSI Design,47,Digital Electronics,46,Signal Processing,51,93,4.8
10166,Student_166,ECE,VLSI Design,59,Digital Electronics,92,Signal Processing,51,74,6.73
10167,Student_167,IT,Data Science,96,Cloud Computing,57,Web Frameworks,61,78,7.13
10168,Student_168,EEE,Power Systems,89,Control Theory,52,Electric Machines,97,96,7.93
10169,Student_169,MECH,Thermodynamics,63,Fluid Mechanics,67,Robotics,45,78,5.83
10170,Student_170,MECH,Thermodynamics,90,Fluid Mechanics,46,Robotics,44,83,6.0
10171,Student_171,ECE,VLSI Design,87,Digital Electronics,58,Signal Processing,96,99,8.03
10172,Student_172,ECE,VLSI Design,44,Digital Electronics,41,Signal Processing,75,65,5.33
10173,Student_173,ECE,VLSI Design,63,Digital Electronics,45,Signal Processing,76,70,6.13
10174,Student_174,CSE,Data Science,73,Operating Systems,97,Cyber Security,64,78,7.8
10175,Student_175,ECE,VLSI Design,69,Digital Electronics,40,Signal Processing,81,76,6.33
10176,Student_176,IT,Data Science,72,Cloud Computing,78,Web Frameworks,78,80,7.6
10177,Student_177,ECE,VLSI Design,70,Digital Electronics,89,Signal Processing,48,95,6.9
10178,Student_178,CSE,Data Science,52,Operating Systems,52,Cyber Security,89,69,6.43
10179,Student_179,CSE,Data Science,56,Operating Systems,63,Cyber Security,78,65,6.57
10180,Student_180,MECH,Thermodynamics,79,Fluid Mechanics,88,Robotics,86,86,8.43
10181,Student_181,EEE,Power Systems,72,Control Theory,42,Electric Machines,56,72,5.67
10182,Student_182,MECH,Thermodynamics,84,Fluid Mechanics,58,Robotics,51,74,6.43
10183,Student_183,MECH,Thermodynamics,79,Fluid Mechanics,89,Robotics,72,96,8.0
10184,Student_184,ECE,VLSI Design,77,Digital Electronics,84,Signal Processing,74,86,7.83
10185,Student_185,IT,Data Science,82,Cloud Computing,76,Web Frameworks,66,98,7.47
10186,Student_186,IT,Data Science,97,Cloud Computing,67,Web Frameworks,73,68,7.9
10187,Student_187,EEE,Power Systems,97,Control Theory,43,Electric Machines,82,79,7.4
10188,Student_188,CSE,Data Science,71,Operating Systems,59,Cyber Security,69,75,6.63
10189,Student_189,EEE,Power Systems,49,Control Theory,73,Electric Machines,68,71,6.33
10190,Student_190,CSE,Data Science,64,Operating Systems,42,Cyber Security,73,77,5.97
10191,Student_191,ECE,VLSI Design,84,Digital Electronics,66,Signal Processing,46,98,6.53
10192,Student_192,ECE,VLSI Design,46,Digital Electronics,75,Signal Processing,66,94,6.23
10193,Student_193,ECE,VLSI Design,80,Digital Electronics,83,Signal Processing,46,82,6.97
10194,Student_194,EEE,Power Systems,55,Control Theory,98,Electric Machines,49,88,6.73
10195,Student_195,CSE,Data Science,44,Operating Systems,95,Cyber Security,59,94,6.6
10196,Student_196,CSE,Data Science,93,Operating Systems,66,Cyber Security,40,96,6.63
10197,Student_197,ECE,VLSI Design,99,Digital Electronics,53,Signal Processing,93,89,8.17
10198,Student_198,CSE,Data Science,88,Operating Systems,52,Cyber Security,49,76,6.3
10199,Student_199,CSE,Data Science,40,Operating Systems,96,Cyber Security,75,71,7.03
10200,Student_200,IT,Data Science,77,Cloud Computing,59,Web Frameworks,85,89,7.37
10201,Student_201,IT,Data Science,55,Cloud Computing,49,Web Frameworks,48,66,5.07
10202,Student_202,ECE,VLSI Design,41,Digital Electronics,79,Signal Processing,98,82,7.27
10203,Student_203,IT,Data Science,99,Cloud Computing,97,Web Frameworks,43,80,7.97
10204,Student_204,IT,Data Science,61,Cloud Computing,78,Web Frameworks,81,75,7.33
10205,Student_205,ECE,VLSI Design,53,Digital Electronics,52,Signal Processing,50,77,5.17
10206,Student_206,MECH,Thermodynamics,79,Fluid Mechanics,42,Robotics,56,71,5.9
10207,Student_207,MECH,Thermodynamics,93,Fluid Mechanics,58,Robotics,82,83,7.77
10208,Student_208,EEE,Power Systems,79,Control Theory,56,Electric Machines,60,96,6.5
10209,Student_209,MECH,Thermodynamics,43,Fluid Mechanics,58,Robotics,69,87,5.67
10210,Student_210,MECH,Thermodynamics,67,Fluid Mechanics,87,Robotics,86,86,8.0
10211,Student_211,ECE,VLSI Design,41,Digital Electronics,64,Signal Processing,70,93,5.83
10212,Student_212,MECH,Thermodynamics,48,Fluid Mechanics,98,Robotics,79,73,7.5
10213,Student_213,ECE,VLSI Design,82,Digital Electronics,40,Signal Processing,94,90,7.2
10214,Student_214,ECE,VLSI Design,76,Digital Electronics,76,Signal Processing,85,98,7.9
10215,Student_215,ECE,VLSI Design,98,Digital Electronics,64,Signal Processing,51,88,7.1
10216,Student_216,CSE,Data Science,51,Operating Systems,76,Cyber Security,46,82,5.77
10217,Student_217,IT,Data Science,52,Cloud Computing,61,Web Frameworks,83,68,6.53
10218,Student_218,ECE,VLSI Design,80,Digital Electronics,61,Signal Processing,43,98,6.13
10219,Student_219,EEE,Power Systems,86,Control Theory,90,Electric Machines,92,79,8.93
10220,Student_220,EEE,Power Systems,81,Control Theory,49,Electric Machines,45,81,5.83
10221,Student_221,ECE,VLSI Design,56,Digital Electronics,47,Signal Processing,92,75,6.5
10222,Student_222,CSE,Data Science,60,Operating Systems,44,Cyber Security,74,94,5.93
10223,Student_223,CSE,Data Science,89,Operating Systems,74,Cyber Security,90,82,8.43
10224,Student_224,EEE,Power Systems,99,Control Theory,95,Electric Machines,93,97,9.57
10225,Student_225,CSE,Data Science,76,Operating Systems,54,Cyber Security,83,73,7.1
10226,Student_226,ECE,VLSI Design,49,Digital Electronics,60,Signal Processing,78,91,6.23
10227,Student_227,MECH,Thermodynamics,71,Fluid Mechanics,82,Robotics,92,72,8.17
10228,Student_228,ECE,VLSI Design,96,Digital Electronics,63,Signal Processing,78,74,7.9
10229,Student_229,ECE,VLSI Design,70,Digital Electronics,66,Signal Processing,51,68,6.23
10230,Student_230,CSE,Data Science,87,Operating Systems,41,Cyber Security,46,89,5.8
10231,Student_231,EEE,Power Systems,85,Control Theory,47,Electric Machines,67,71,6.63
10232,Student_232,EEE,Power Systems,70,Control Theory,51,Electric Machines,96,80,7.23
10233,Student_233,MECH,Thermodynamics,99,Fluid Mechanics,93,Robotics,58,79,8.33
10234,Student_234,IT,Data Science,80,Cloud Computing,99,Web Frameworks,45,75,7.47
10235,Student_235,CSE,Data Science,66,Operating Systems,85,Cyber Security,77,91,7.6
10236,Student_236,CSE,Data Science,89,Operating Systems,78,Cyber Security,58,65,7.5
10237,Student_237,EEE,Power Systems,59,Control Theory,62,Electric Machines,91,76,7.07
10238,Student_238,CSE,Data Science,98,Operating Systems,52,Cyber Security,50,93,6.67
10239,Student_239,CSE,Data Science,78,Operating Systems,75,Cyber Security,80,94,7.77
10240,Student_240,CSE,Data Science,50,Operating Systems,89,Cyber Security,86,88,7.5
10241,Student_241,EEE,Power Systems,57,Control Theory,81,Electric Machines,84,77,7.4
10242,Student_242,EEE,Power Systems,86,Control Theory,83,Electric Machines,67,93,7.87
10243,Student_243,IT,Data Science,81,Cloud Computing,95,Web Frameworks,43,93,7.3
10244,Student_244,MECH,Thermodynamics,59,Fluid Mechanics,49,Robotics,46,86,5.13
10245,Student_245,IT,Data Science,41,Cloud Computing,73,Web Frameworks,91,91,6.83
10246,Student_246,EEE,Power Systems,74,Control Theory,62,Electric Machines,59,93,6.5
10247,Student_247,IT,Data Science,80,Cloud Computing,93,Web Frameworks,42,75,7.17
10248,Student_248,IT,Data Science,78,Cloud Computing,66,Web Frameworks,54,98,6.6
10249,Student_249,IT,Data Science,63,Cloud Computing,94,Web Frameworks,97,83,8.47
10250,Student_250,IT,Data Science,63,Cloud Computing,80,Web Frameworks,97,88,8.0
10251,Student_251,IT,Data Science,75,Cloud Computing,81,Web Frameworks,79,69,7.83
10252,Student_252,IT,Data Science,74,Cloud Computing,84,Web Frameworks,90,78,8.27
10253,Student_253,IT,Data Science,72,Cloud Computing,96,Web Frameworks,48,75,7.2
10254,Student_254,ECE,VLSI Design,91,Digital Electronics,57,Signal Processing,61,77,6.97
10255,Student_255,CSE,Data Science,68,Operating Systems,82,Cyber Security,99,65,8.3
10256,Student_256,CSE,Data Science,96,Operating Systems,67,Cyber Security,88,73,8.37
10257,Student_257,CSE,Data Science,81,Operating Systems,59,Cyber Security,43,70,6.1
10258,Student_258,CSE,Data Science,85,Operating Systems,89,Cyber Security,77,90,8.37
10259,Student_259,ECE,VLSI Design,81,Digital Electronics,55,Signal Processing,92,65,7.6
10260,Student_260,ECE,VLSI Design,94,Digital Electronics,60,Signal Processing,65,79,7.3
10261,Student_261,EEE,Power Systems,85,Control Theory,44,Electric Machines,56,93,6.17
10262,Student_262,IT,Data Science,93,Cloud Computing,47,Web Frameworks,99,99,7.97
10263,Student_263,IT,Data Science,67,Cloud Computing,97,Web Frameworks,80,68,8.13
10264,Student_264,ECE,VLSI Design,91,Digital Electronics,46,Signal Processing,88,76,7.5
10265,Student_265,EEE,Power Systems,88,Control Theory,51,Electric Machines,86,70,7.5
10266,Student_266,ECE,VLSI Design,53,Digital Electronics,45,Signal Processing,54,67,5.07
10267,Student_267,CSE,Data Science,48,Operating Systems,46,Cyber Security,56,97,5.0
10268,Student_268,EEE,Power Systems,42,Control Theory,47,Electric Machines,52,94,4.7
10269,Student_269,EEE,Power Systems,65,Control Theory,68,Electric Machines,73,75,6.87
10270,Student_270,ECE,VLSI Design,92,Digital Electronics,81,Signal Processing,81,71,8.47
10271,Student_271,CSE,Data Science,84,Operating Systems,83,Cyber Security,45,73,7.07
10272,Student_272,EEE,Power Systems,87,Control Theory,65,Electric Machines,84,96,7.87
10273,Student_273,EEE,Power Systems,89,Control Theory,50,Electric Machines,40,68,5.97
10274,Student_274,MECH,Thermodynamics,49,Fluid Mechanics,79,Robotics,65,94,6.43
10275,Student_275,ECE,VLSI Design,43,Digital Electronics,91,Signal Processing,99,87,7.77
10276,Student_276,EEE,Power Systems,42,Control Theory,52,Electric Machines,52,83,4.87
10277,Student_277,EEE,Power Systems,81,Control Theory,79,Electric Machines,83,78,8.1
10278,Student_278,IT,Data Science,71,Cloud Computing,67,Web Frameworks,80,87,7.27
10279,Student_279,CSE,Data Science,76,Operating Systems,85,Cyber Security,99,84,8.67
10280,Student_280,MECH,Thermodynamics,63,Fluid Mechanics,68,Robotics,97,92,7.6
10281,Student_281,EEE,Power Systems,68,Control Theory,47,Electric Machines,80,70,6.5
10282,Student_282,CSE,Data Science,56,Operating Systems,42,Cyber Security,86,71,6.13
10283,Student_283,ECE,VLSI Design,52,Digital Electronics,63,Signal Processing,85,97,6.67
10284,Student_284,ECE,VLSI Design,76,Digital Electronics,46,Signal Processing,42,86,5.47
10285,Student_285,MECH,Thermodynamics,73,Fluid Mechanics,54,Robotics,87,72,7.13
10286,Student_286,CSE,Data Science,80,Operating Systems,87,Cyber Security,58,74,7.5
10287,Student_287,EEE,Power Systems,81,Control Theory,60,Electric Machines,95,95,7.87
10288,Student_288,IT,Data Science,91,Cloud Computing,42,Web Frameworks,78,69,7.03
10289,Student_289,ECE,VLSI Design,66,Digital Electronics,85,Signal Processing,49,91,6.67
10290,Student_290,IT,Data Science,90,Cloud Computing,76,Web Frameworks,95,98,8.7
10291,Student_291,CSE,Data Science,45,Operating Systems,60,Cyber Security,49,82,5.13
10292,Student_292,ECE,VLSI Design,96,Digital Electronics,44,Signal Processing,52,68,6.4
10293,Student_293,MECH,Thermodynamics,46,Fluid Mechanics,69,Robotics,95,68,7.0
10294,Student_294,EEE,Power Systems,93,Control Theory,41,Electric Machines,46,77,6.0
10295,Student_295,EEE,Power Systems,59,Control Theory,59,Electric Machines,98,87,7.2
10296,Student_296,CSE,Data Science,43,Operating Systems,74,Cyber Security,69,82,6.2
10297,Student_297,CSE,Data Science,88,Operating Systems,46,Cyber Security,74,84,6.93
10298,Student_298,CSE,Data Science,73,Operating Systems,44,Cyber Security,81,73,6.6
10299,Student_299,MECH,Thermodynamics,74,Fluid Mechanics,75,Robotics,83,83,7.73
10300,Student_300,MECH,Thermodynamics,78,Fluid Mechanics,83,Robotics,94,74,8.5
10301,Student_301,IT,Data Science,65,Cloud Computing,92,Web Frameworks,63,96,7.33
10302,Student_302,EEE,Power Systems,50,Control Theory,52,Electric Machines,48,65,5.0
10303,Student_303,IT,Data Science,98,Cloud Computing,64,Web Frameworks,85,73,8.23
10304,Student_304,ECE,VLSI Design,54,Digital Electronics,75,Signal Processing,52,65,6.03
10305,Student_305,IT,Data Science,82,Cloud Computing,67,Web Frameworks,52,98,6.7
10306,Student_306,ECE,VLSI Design,76,Digital Electronics,68,Signal Processing,59,65,6.77
10307,Student_307,MECH,Thermodynamics,91,Fluid Mechanics,61,Robotics,51,95,6.77
10308,Student_308,IT,Data Science,91,Cloud Computing,72,Web Frameworks,69,96,7.73
10309,Student_309,EEE,Power Systems,49,Control Theory,50,Electric Machines,47,68,4.87
10310,Student_310,CSE,Data Science,94,Operating Systems,84,Cyber Security,84,84,8.73
10311,Student_311,MECH,Thermodynamics,48,Fluid Mechanics,54,Robotics,42,74,4.8
